Tulsa,Temple,17,31,195,109,208,191
Penn State,Illinois,63,24,204,166,387,245
Florida Atlantic,UCF,36,56,127,306,320,239
Washington State,USC,36,39,344,241,91,113
Texas A&M,Alabama,23,45,263,415,130,109
Georgia,Missouri,43,29,260,221,185,172
Clemson,Georgia Tech,49,21,232,57,248,146
Tulane,Ohio State,6,49,156,419,100,151
Army,Oklahoma,21,28,40,165,339,190
Louisiana Tech,LSU,21,38,330,191,87,218
Stanford,Oregon,38,31,327,346,71,178
Notre Dame,Wake Forest,56,27,325,139,241,259
Arkansas,Auburn,3,34,141,134,149,91
Arizona State,Washington,20,27,104,202,164,171
Kansas State,West Virginia,6,35,227,356,91,108
Virginia Tech,Old Dominion,35,49,282,495,318,137
Mississippi State,Kentucky,7,28,145,71,56,229
Texas Tech,Oklahoma State,41,17,397,258,224,128
TCU,Texas,16,31,231,255,141,112
Wisconsin,Iowa,28,17,205,256,210,148
Nebraska,Michigan,10,56,93,206,39,285
Florida International,Miami,17,31,170,240,17,248
Boston College,Purdue,13,30,144,296,85,76
Michigan State,Indiana,35,21,219,272,131,29
McNeese,BYU,3,30,134,130,73,161
Kent State,Ole Miss,17,38,242,442,148,209
Buffalo,Rutgers,42,13,263,168,182,116
Minnesota,Maryland,13,42,169,117,94,315
Akron,Iowa State,13,26,153,233,91,132
Ohio,Cincinnati,30,34,178,274,234,150
Nevada,Toledo,44,63,320,230,262,230
Navy,SMU,30,31,25,166,349,158
Pittsburgh,North Carolina,35,38,174,313,228,173
Louisville,Virginia,3,27,148,197,66,204
Western Michigan,Georgia State,34,15,234,285,294,58
Miami (OH),Bowling Green,38,23,119,300,289,85
Western Kentucky,Ball State,28,20,252,285,194,120
Illinois State,Colorado State,35,19,271,257,267,134
Maine,Central Michigan,5,17,183,82,82,95
Gardner-Webb,Appalachian State,7,72,126,260,34,432
Charlotte,UMass,31,49,283,189,81,142
North Carolina Central,Duke,13,55,51,256,136,372
Northern Illinois,Florida State,19,37,215,352,6,121
Kansas,Baylor,7,26,149,257,122,190
Arizona,Oregon State,35,14,152,141,442,97
South Carolina,Vanderbilt,37,14,261,192,273,92
UConn,Syracuse,21,51,217,295,178,341
North Texas,Liberty,47,7,185,222,346,122
Rice,Southern Mississippi,22,40,125,428,137,138
Texas State,UTSA,21,25,222,127,26,145
UNLV,Arkansas State,20,27,23,199,310,197
Coastal Carolina,Louisiana,30,28,186,143,311,238
Troy,UL Monroe,35,27,329,290,140,200
NC State,Marshall,37,20,377,270,125,54
Florida,Tennessee,47,21,186,208,201,156
New Mexico State,UTEP,27,20,156,194,155,235
East Carolina,South Florida,13,20,256,181,156,115
Texas Southern,Houston,14,70,278,386,60,285
South Alabama,Memphis,35,52,360,292,107,271
Air Force,Utah State,32,42,148,356,323,133
Eastern Michigan,San Diego State,20,23,236,176,119,174
Duquesne,Hawai'i,21,42,142,273,24,245
