Ohio,Temple,31,23,78,321,204,81
Miami (OH),Akron,19,14,224,237,185,105
Bowling Green,Toledo,14,33,245,260,35,277
Georgia State,Alabama,7,63,85,216,91,262
UCLA,Washington,7,24,55,74,108,253
Air Force,UNLV,35,20,111,224,343,113
Fresno State,Boise State,0,51,107,391,49,125
Ole Miss,LSU,36,43,187,267,236,212
Stanford,California,48,14,235,197,232,109
Wisconsin,Michigan,48,28,209,283,357,168
Nebraska,Texas A&M,6,9,174,195,142,138
Ohio State,Iowa,20,17,199,212,158,81
Oklahoma State,Kansas,48,14,408,189,189,114
Purdue,Michigan State,31,35,189,294,189,95
Arkansas,Mississippi State,38,31,316,244,183,262
Oklahoma,Baylor,53,24,353,141,109,237
Missouri,Iowa State,14,0,172,199,134,152
Virginia Tech,Miami,31,17,165,212,251,262
Troy,South Carolina,24,69,198,263,81,212
New Mexico State,Nevada,6,52,262,262,89,243
Utah,San Diego State,38,34,365,539,138,59
Florida State,Maryland,30,16,212,278,151,163
Pittsburgh,South Florida,17,10,170,146,150,153
Penn State,Indiana,41,24,331,253,171,90
NC State,North Carolina,29,25,195,466,112,-7
Virginia,Boston College,13,17,296,176,125,218
Northern Illinois,Ball State,59,21,248,171,194,113
Appalachian State,Florida,10,48,158,241,117,311
UTEP,Tulsa,28,31,154,338,223,218
Clemson,Wake Forest,30,10,254,180,182,54
Kent State,Western Michigan,3,38,258,181,182,259
Colorado State,Wyoming,0,44,132,291,65,212
Eastern Michigan,Buffalo,21,17,92,222,261,75
Kansas State,Colorado,36,44,348,245,101,251
Marshall,SMU,17,31,295,247,50,185
Weber State,Texas Tech,21,64,298,450,177,230
Idaho,Utah State,28,6,246,111,112,139
Florida Atlantic,Texas,17,51,243,269,88,259
North Texas,Louisiana Monroe,37,49,179,261,161,233
UCF,Tulane,61,14,195,192,282,146
Illinois,Northwestern,48,27,40,150,519,183
Memphis,UAB,15,31,238,361,103,149
Middle Tennessee,Western Kentucky,27,26,86,112,129,298
New Mexico,BYU,7,40,169,245,100,258
Florida Intl,Louisiana,38,17,166,212,155,204
Connecticut,Syracuse,23,6,98,206,156,64
Army,Notre Dame,3,27,39,214,135,155
Tennessee,Vanderbilt,24,10,240,234,128,111
Rutgers,Cincinnati,38,69,440,377,-9,295
San Jose State,Hawai'i,7,41,195,607,34,33
