Central Michigan,Kent State,42,23,298,320,152,174
Ohio,Akron,34,37,113,322,282,121
Eastern Michigan,Miami (OH),27,24,269,251,185,141
Western Michigan,Northern Illinois,31,35,211,64,110,248
Toledo,Bowling Green,66,37,248,309,389,82
Buffalo,Ball State,40,24,350,143,215,194
Tulsa,South Florida,20,27,191,142,166,279
Middle Tennessee,Western Kentucky,38,41,294,485,137,53
UNLV,New Mexico,38,35,211,0,323,482
Mercer,Alabama,0,56,54,265,107,265
The Citadel,Clemson,3,61,61,479,155,183
Virginia,Miami,28,44,384,210,55,148
Oklahoma,Kansas,41,3,312,123,157,32
Michigan,Wisconsin,10,24,176,143,58,182
Louisiana Monroe,Auburn,14,42,214,235,116,317
Kentucky,Georgia,13,42,138,123,124,381
Navy,Notre Dame,17,24,41,164,277,163
Illinois,Ohio State,14,52,16,218,89,325
Nebraska,Penn State,44,56,399,346,67,263
UCLA,USC,23,28,421,264,80,153
TCU,Texas Tech,27,3,85,153,204,174
Kansas State,Oklahoma State,45,40,204,425,217,85
UCF,Temple,45,19,254,201,130,196
Mississippi State,Arkansas,28,21,153,124,195,97
Maryland,Michigan State,7,17,121,20,83,271
Utah,Washington,30,33,293,354,117,123
NC State,Wake Forest,24,30,327,247,175,87
LSU,Tennessee,30,10,81,249,200,38
SMU,Memphis,45,66,218,331,259,333
California,Stanford,14,17,182,185,155,193
Minnesota,Northwestern,0,39,43,86,139,277
Air Force,Boise State,19,44,115,338,181,90
Cincinnati,East Carolina,20,48,187,464,139,114
Texas,West Virginia,28,14,187,239,233,56
Rutgers,Indiana,0,41,103,236,87,267
Delaware State,Florida State,6,77,177,236,15,246
Pittsburgh,Virginia Tech,14,20,311,218,55,157
Rice,Old Dominion,21,24,90,188,241,172
Iowa State,Baylor,23,13,180,198,214,133
Arizona State,Oregon State,40,24,167,269,286,106
Charlotte,Southern Mississippi,21,66,96,221,142,363
Louisiana Tech,UTEP,42,21,203,246,343,164
Western Carolina,North Carolina,10,65,153,298,151,313
Hawai'i,Utah State,0,38,146,164,172,311
UMass,BYU,16,10,230,257,69,42
Texas State,Arkansas State,12,30,103,229,85,233
South Alabama,Georgia Southern,0,52,166,227,29,356
San Jose State,Colorado State,14,42,208,305,131,301
Syracuse,Louisville,10,56,138,316,197,411
Purdue,Iowa,24,15,229,176,65,82
Wofford,South Carolina,10,31,72,194,155,195
UAB,Florida,7,36,177,152,3,257
Houston,Tulane,17,20,225,251,220,166
Coastal Carolina,Idaho,13,7,100,177,175,100
New Mexico State,Louisiana,34,47,313,226,89,279
Army,North Texas,49,52,27,386,534,103
Arizona,Oregon,28,48,159,235,171,353
Texas A&M,Ole Miss,31,24,272,189,119,202
Boston College,UConn,39,16,55,241,330,171
Marshall,UT San Antonio,7,9,189,267,40,88
Florida Intl,Florida Atlantic,24,52,218,239,85,333
Missouri,Vanderbilt,45,17,235,348,191,51
