Florida Intl,Arkansas State,16,34,244,158,66,238
UCF,UAB,24,26,235,328,96,174
UCLA,Arizona,12,48,299,325,37,254
Rutgers,Louisville,14,16,216,122,91,187
Tennessee,Alabama,6,37,71,298,92,143
Texas Tech,Oklahoma,41,38,478,412,120,124
Oklahoma State,Missouri,45,24,355,224,195,248
Air Force,Boise State,26,37,161,281,264,142
Wisconsin,Michigan State,31,37,235,317,220,109
North Carolina,Clemson,38,59,330,397,102,77
Washington,Stanford,21,65,267,169,172,446
Arkansas,Ole Miss,29,24,236,255,206,151
Oregon,Colorado,45,2,158,166,371,98
Kansas State,Kansas,59,21,205,225,261,75
Boston College,Virginia Tech,14,30,194,268,91,214
Nebraska,Minnesota,41,14,169,122,346,132
Marshall,Houston,28,63,318,479,197,142
Penn State,Northwestern,34,24,208,376,197,94
Georgia Tech,Miami,7,24,81,140,134,122
Illinois,Purdue,14,21,266,190,121,126
Cincinnati,South Florida,37,34,388,438,118,99
Jacksonville State,Kentucky,14,38,120,105,158,340
Northern Illinois,Buffalo,31,30,150,404,178,168
Indiana,Iowa,24,45,205,284,217,203
Wake Forest,Duke,24,23,236,237,90,148
Western Michigan,Eastern Michigan,10,14,208,170,131,205
Central Michigan,Ball State,27,31,445,325,133,130
New Mexico,TCU,0,69,34,263,64,264
Idaho State,BYU,3,56,264,282,20,290
Louisiana Tech,Utah State,24,17,167,154,86,166
NC State,Virginia,28,14,231,127,114,124
Temple,Bowling Green,10,13,88,223,218,114
Maryland,Florida State,16,41,325,303,59,218
Memphis,Tulane,33,17,225,377,76,82
Ohio,Akron,37,20,344,176,212,81
East Carolina,Navy,38,35,383,144,132,284
Fresno State,Nevada,38,45,317,321,207,268
Louisiana Monroe,North Texas,21,38,241,347,142,127
Utah,California,10,34,181,261,13,129
Army,Vanderbilt,21,44,35,186,270,344
Tulsa,Rice,38,20,318,269,155,103
Miami (OH),Toledo,28,49,452,228,14,269
USC,Notre Dame,31,17,224,226,219,41
SMU,Southern Mississippi,3,27,180,266,157,187
Middle Tennessee,Florida Atlantic,38,14,294,163,187,141
Oregon State,Washington State,44,21,376,250,175,83
New Mexico State,Hawai'i,34,45,318,306,148,227
