1,147,76,36,96,103,94,3,50,87,74,153,78,97,64,3,50,4
0,69,48,28,84,5,37,3,10,155,180,24,86,87,52,3,50,4
1,50,110,68,143,70,145,3,100,37,44,7,126,16,5,2,16,4
1,3,14,175,27,23,22,3,50,57,43,152,137,138,79,3,50,4
1,32,130,9,15,22,24,3,22,33,79,29,31,1,9,3,1,4
0,106,31,13,30,20,2,3,2,5,169,56,13,25,54,3,50,4
0,48,54,37,22,43,18,3,3,175,29,1,79,66,77,3,50,4
1,105,141,88,149,94,69,3,50,13,65,18,88,2,49,3,4,4
1,170,150,6,40,101,62,3,50,21,145,38,44,10,50,3,5,4
1,26,26,46,76,28,55,2,50,143,89,109,25,86,16,3,6,4
0,79,73,144,33,104,1,3,7,47,103,44,14,8,47,3,20,4
0,120,131,91,34,119,34,3,8,53,171,15,80,52,83,3,50,4
1,88,165,90,20,64,113,3,50,114,109,30,23,55,27,3,9,4
1,25,95,145,54,85,32,3,50,41,41,105,77,95,13,3,10,4
1,145,63,80,131,106,76,3,50,7,33,52,67,19,26,2,12,4
1,77,106,47,9,27,12,2,13,93,156,146,129,143,129,3,100,4
1,55,45,5,19,9,7,3,14,136,57,11,51,49,25,3,50,4
0,2,161,81,94,3,109,3,50,18,97,20,12,7,35,3,15,4
1,82,61,34,66,29,46,3,17,75,127,77,36,75,63,3,50,4
0,122,20,10,61,61,19,3,18,107,37,85,6,88,3,3,50,4
1,112,105,19,26,118,98,2,50,110,28,66,48,48,28,3,19,4
1,99,139,33,103,39,90,3,50,84,16,59,28,15,42,3,21,4
1,45,50,8,97,6,65,3,23,24,174,61,87,93,103,3,50,4
0,40,190,147,2,108,67,2,24,118,15,31,115,71,38,3,50,4
1,116,123,63,142,83,128,3,50,28,186,92,133,26,156,3,50,4
0,59,96,104,85,38,60,3,50,172,75,114,152,147,137,3,100,4
1,127,59,73,10,73,8,3,50,167,99,27,35,76,84,3,50,4
1,66,118,116,29,35,48,2,100,60,136,189,72,159,80,2,50,4
1,63,201,127,100,56,142,2,50,159,21,17,17,50,4,3,50,4
1,52,178,125,57,36,107,3,50,35,64,95,92,21,85,2,50,4
1,185,132,2,93,45,120,3,50,131,154,172,102,144,157,3,50,4
1,169,40,48,123,132,82,3,50,138,83,94,118,145,111,2,50,4
1,154,77,121,116,130,78,3,50,97,71,42,59,58,53,3,50,4
0,70,9,54,163,46,125,3,50,133,164,123,153,146,146,3,50,4
0,117,34,176,91,177,101,3,50,103,46,163,197,113,168,3,50,4
0,62,47,150,120,155,97,3,50,100,85,32,112,125,61,3,50,4
1,141,189,118,7,78,95,1,100,164,10,132,151,161,102,3,50,4
1,128,146,96,18,117,93,3,50,74,81,93,170,79,152,4,50,4
1,179,70,126,82,173,58,3,50,78,166,161,56,157,86,3,50,4
1,160,24,35,81,51,29,3,50,22,68,86,111,40,100,3,50,4
0,31,121,72,147,59,126,3,50,30,163,45,148,44,164,3,50,4
0,49,30,100,127,63,92,2,50,68,49,106,63,77,17,3,50,4
1,102,193,53,182,100,181,3,50,94,143,21,43,12,45,3,50,4
0,4,84,155,24,11,40,3,50,20,7,83,178,65,75,2,100,4
1,96,162,55,114,84,143,3,100,27,23,131,60,47,20,2,50,4
1,139,140,79,52,112,108,3,50,148,170,174,105,160,155,3,100,4
1,177,87,3,107,37,91,3,50,38,92,67,117,90,114,3,50,4
0,152,94,22,139,34,105,3,100,80,91,65,156,82,132,2,100,4
0,140,108,70,49,57,89,3,50,67,181,103,71,128,116,3,100,4
0,10,98,159,70,67,10,2,50,56,82,130,42,60,59,2,50,4
0,126,13,71,125,42,23,3,50,135,55,40,41,69,21,3,50,4
0,123,36,185,171,170,158,4,50,184,35,108,177,176,127,3,100,4
1,39,86,117,47,72,68,2,100,23,12,60,174,53,73,3,50,4
1,29,116,199,185,141,130,1,100,14,199,25,64,18,118,3,50,4
1,157,160,122,113,102,144,3,100,51,3,4,98,14,44,3,50,4
1,183,137,14,5,68,33,2,50,64,52,50,75,4,51,3,50,4
1,19,93,134,150,62,71,3,50,153,155,49,8,127,57,3,50,4
1,174,158,129,175,158,195,1,100,8,148,137,146,30,115,4,50,4
