Hawai'i,141.0,214.0,1071.0,1289.0,1016.0,1250.0,5
California,210.0,193.0,2143.0,1180.0,597.0,1229.0,5
Appalachian State,116.0,113.0,831.0,1252.0,1083.0,669.0,5
Tennessee,165.0,115.0,1035.0,1059.0,873.0,745.0,5
Charlotte,117.0,221.0,1007.0,1569.0,846.0,858.0,5
Louisville,290.0,132.0,1750.0,931.0,1546.0,689.0,5
Presbyterian College,3.0,49.0,82.0,237.0,44.0,255.0,1
Central Michigan,168.0,149.0,1537.0,1092.0,644.0,678.0,5
Tulane,155.0,112.0,516.0,857.0,1233.0,688.0,5
Wake Forest,118.0,99.0,880.0,1327.0,869.0,554.0,5
UT Martin,43.0,69.0,350.0,463.0,391.0,315.0,2
Cincinnati,129.0,132.0,1326.0,1349.0,747.0,751.0,5
Maine,24.0,69.0,334.0,491.0,210.0,387.0,2
Connecticut,99.0,132.0,1134.0,1473.0,619.0,591.0,5
William & Mary,14.0,48.0,106.0,262.0,62.0,259.0,1
NC State,160.0,85.0,1188.0,890.0,832.0,396.0,4
Indiana,116.0,87.0,1283.0,934.0,704.0,558.0,4
Florida Intl,87.0,180.0,924.0,1073.0,752.0,1113.0,5
South Carolina,70.0,93.0,985.0,1009.0,524.0,1010.0,5
Vanderbilt,101.0,118.0,773.0,1243.0,742.0,803.0,5
Southern Utah,0.0,24.0,42.0,298.0,116.0,138.0,1
Utah,132.0,91.0,1283.0,1035.0,870.0,587.0,5
Weber State,6.0,45.0,137.0,100.0,108.0,428.0,1
Utah State,116.0,119.0,1099.0,1011.0,788.0,723.0,5
Rice,101.0,201.0,816.0,1775.0,866.0,1062.0,5
Western Kentucky,167.0,110.0,1610.0,1293.0,713.0,510.0,5
Oregon State,90.0,122.0,691.0,911.0,557.0,807.0,4
Minnesota,145.0,104.0,846.0,1021.0,913.0,492.0,4
South Dakota,21.0,48.0,140.0,187.0,183.0,428.0,1
New Mexico,155.0,131.0,516.0,832.0,1388.0,591.0,4
Montana State,17.0,20.0,195.0,128.0,110.0,229.0,1
Idaho,86.0,196.0,940.0,1380.0,629.0,985.0,5
Jackson State,13.0,63.0,144.0,223.0,108.0,280.0,1
UNLV,180.0,152.0,811.0,1321.0,1365.0,667.0,5
Kansas State,127.0,50.0,673.0,618.0,713.0,341.0,4
Stanford,81.0,80.0,596.0,937.0,643.0,500.0,4
Furman,13.0,28.0,139.0,190.0,87.0,171.0,1
Michigan State,91.0,95.0,944.0,959.0,681.0,422.0,4
Northwestern State,7.0,55.0,31.0,223.0,47.0,275.0,1
Baylor,213.0,96.0,1391.0,831.0,1451.0,874.0,5
Mississippi Valley State,14.0,61.0,146.0,198.0,23.0,281.0,1
Eastern Michigan,174.0,143.0,1293.0,1306.0,945.0,635.0,5
Ball State,147.0,123.0,1137.0,1369.0,1035.0,743.0,5
Georgia State,55.0,119.0,759.0,553.0,225.0,1194.0,4
Albany,22.0,16.0,113.0,177.0,125.0,226.0,1
Buffalo,56.0,115.0,526.0,588.0,570.0,1015.0,4
Colgate,7.0,33.0,98.0,437.0,45.0,117.0,1
Syracuse,145.0,188.0,1850.0,1501.0,625.0,1020.0,5
Army,145.0,64.0,303.0,709.0,1499.0,350.0,4
Temple,171.0,102.0,999.0,783.0,752.0,814.0,5
Colorado State,118.0,148.0,1076.0,1211.0,896.0,864.0,5
Colorado,216.0,103.0,1563.0,746.0,1093.0,706.0,5
Toledo,181.0,85.0,1506.0,640.0,877.0,701.0,4
Arkansas State,67.0,144.0,1095.0,1021.0,323.0,957.0,4
Cal Poly,27.0,30.0,62.0,189.0,383.0,174.0,1
Nevada,109.0,142.0,947.0,919.0,887.0,1363.0,5
USC,129.0,137.0,1229.0,1027.0,729.0,854.0,5
Alabama,220.0,65.0,1264.0,940.0,1158.0,342.0,5
Clemson,176.0,80.0,1478.0,798.0,839.0,644.0,5
Auburn,156.0,82.0,1094.0,1012.0,1349.0,780.0,5
Oklahoma,158.0,141.0,1175.0,1194.0,795.0,523.0,4
Houston,221.0,56.0,1523.0,1040.0,1007.0,210.0,5
LSU,126.0,74.0,807.0,1089.0,1185.0,541.0,5
Wisconsin,130.0,61.0,993.0,1005.0,808.0,452.0,5
Bowling Green,86.0,249.0,1084.0,1571.0,758.0,1133.0,5
Ohio State,228.0,37.0,977.0,561.0,1328.0,390.0,4
Michigan,222.0,62.0,1171.0,677.0,1049.0,561.0,5
South Dakota State,41.0,59.0,333.0,439.0,128.0,223.0,1
TCU,217.0,157.0,1969.0,1291.0,849.0,782.0,5
Rutgers,57.0,148.0,564.0,879.0,589.0,987.0,4
Washington,227.0,64.0,1209.0,885.0,996.0,611.0,5
UCLA,141.0,112.0,1528.0,930.0,596.0,850.0,5
Texas A&M,196.0,77.0,1312.0,1267.0,1293.0,674.0,5
Miami (OH),72.0,120.0,1058.0,792.0,341.0,674.0,4
Iowa,153.0,92.0,992.0,909.0,716.0,914.0,5
Georgia,132.0,154.0,1076.0,1203.0,968.0,686.0,5
North Carolina,202.0,155.0,1741.0,1110.0,680.0,1184.0,5
UC Davis,50.0,98.0,492.0,469.0,163.0,525.0,2
Oregon,200.0,181.0,1243.0,1402.0,1317.0,1050.0,5
UMass,94.0,141.0,1018.0,1098.0,408.0,970.0,5
Florida,142.0,58.0,1232.0,699.0,804.0,453.0,5
Georgia Tech,118.0,92.0,544.0,1114.0,1134.0,598.0,5
Boston College,117.0,86.0,863.0,620.0,815.0,390.0,5
Fordham,16.0,52.0,302.0,123.0,162.0,427.0,1
Navy,115.0,82.0,572.0,844.0,1006.0,665.0,4
Eastern Kentucky,38.0,86.0,508.0,489.0,168.0,454.0,2
Purdue,96.0,126.0,1147.0,753.0,540.0,895.0,4
Western Michigan,224.0,93.0,1063.0,1063.0,1235.0,533.0,5
Northwestern,103.0,99.0,1122.0,1234.0,630.0,789.0,5
Boise State,135.0,72.0,1193.0,1144.0,707.0,288.0,4
Louisiana,138.0,168.0,1079.0,1490.0,899.0,606.0,5
South Alabama,136.0,136.0,1372.0,764.0,538.0,1117.0,5
Mississippi State,114.0,93.0,857.0,982.0,878.0,443.0,4
Missouri,185.0,117.0,1753.0,1160.0,790.0,945.0,5
West Virginia,116.0,80.0,1272.0,909.0,749.0,765.0,4
Howard,13.0,52.0,200.0,204.0,69.0,315.0,1
Maryland,173.0,58.0,665.0,825.0,1200.0,476.0,4
Liberty,27.0,65.0,253.0,461.0,187.0,492.0,2
Virginia Tech,163.0,75.0,1014.0,603.0,782.0,454.0,4
Villanova,7.0,28.0,119.0,175.0,53.0,86.0,1
Pittsburgh,187.0,155.0,923.0,1684.0,1250.0,349.0,5
Abilene Christian,21.0,37.0,274.0,201.0,86.0,401.0,1
Air Force,140.0,69.0,638.0,1048.0,1251.0,212.0,4
Richmond,37.0,20.0,337.0,264.0,187.0,38.0,1
Virginia,139.0,149.0,1457.0,1548.0,599.0,810.0,5
Kent State,103.0,158.0,788.0,1035.0,698.0,805.0,5
Penn State,145.0,157.0,1284.0,936.0,541.0,1083.0,5
Texas State,110.0,177.0,1172.0,1182.0,291.0,897.0,4
Ohio,164.0,133.0,1156.0,1210.0,1016.0,556.0,5
Murray State,3.0,52.0,175.0,228.0,-10.0,287.0,1
Illinois,101.0,116.0,813.0,810.0,596.0,677.0,4
Louisiana Tech,180.0,149.0,1736.0,1447.0,863.0,777.0,5
Arkansas,180.0,116.0,1232.0,1055.0,985.0,817.0,5
Southern Illinois,30.0,38.0,387.0,282.0,143.0,170.0,1
Florida Atlantic,113.0,195.0,994.0,1198.0,656.0,1254.0,5
North Carolina Central,27.0,119.0,283.0,482.0,144.0,667.0,2
Duke,134.0,123.0,1452.0,1261.0,776.0,596.0,5
Western Carolina,7.0,52.0,172.0,413.0,148.0,275.0,1
East Carolina,146.0,158.0,1960.0,1105.0,656.0,864.0,5
Florida A&M,3.0,70.0,175.0,150.0,22.0,373.0,1
Miami,188.0,44.0,967.0,551.0,930.0,480.0,4
Savannah State,0.0,110.0,110.0,431.0,45.0,789.0,2
Georgia Southern,132.0,79.0,561.0,912.0,1271.0,311.0,4
Austin Peay,17.0,57.0,161.0,323.0,93.0,383.0,1
Troy,204.0,97.0,1349.0,1327.0,1074.0,556.0,5
VMI,24.0,47.0,300.0,425.0,86.0,151.0,1
Akron,191.0,188.0,1530.0,1603.0,658.0,939.0,5
Alabama A&M,0.0,55.0,54.0,435.0,92.0,246.0,1
Middle Tennessee,188.0,115.0,1763.0,1103.0,879.0,750.0,5
SMU,99.0,153.0,1181.0,1331.0,899.0,836.0,5
North Texas,117.0,151.0,1025.0,1121.0,619.0,1121.0,5
San Jose State,144.0,206.0,1185.0,1079.0,824.0,1341.0,5
Tulsa,154.0,120.0,973.0,902.0,845.0,623.0,4
Towson,20.0,56.0,165.0,230.0,127.0,214.0,1
South Florida,229.0,132.0,1203.0,1108.0,1257.0,1091.0,5
South Carolina State,24.0,150.0,329.0,1111.0,289.0,637.0,3
UCF,176.0,124.0,962.0,1190.0,1164.0,563.0,5
Rhode Island,6.0,55.0,49.0,399.0,170.0,171.0,1
Kansas,102.0,141.0,1048.0,953.0,364.0,777.0,4
Southeast Missouri State,17.0,35.0,143.0,295.0,110.0,110.0,1
Memphis,183.0,75.0,1234.0,900.0,674.0,585.0,4
Alabama State,13.0,26.0,142.0,287.0,145.0,162.0,1
UT San Antonio,87.0,101.0,963.0,721.0,385.0,808.0,4
Southern,42.0,104.0,418.0,220.0,293.0,762.0,2
Louisiana Monroe,83.0,161.0,902.0,838.0,582.0,1282.0,4
Southern Mississippi,209.0,107.0,1534.0,745.0,1097.0,618.0,5
Kentucky,127.0,175.0,903.0,1347.0,859.0,993.0,5
Northern Iowa,25.0,20.0,135.0,256.0,232.0,51.0,1
Iowa State,129.0,163.0,1215.0,957.0,706.0,1305.0,5
Fresno State,119.0,191.0,1292.0,914.0,523.0,1414.0,5
Nebraska,185.0,88.0,1192.0,975.0,1171.0,759.0,5
