Middle Tennessee,Arkansas State,50,50,1
Rutgers,South Florida,50,50,1
Georgia Tech,Virginia Tech,50,22,1
Buffalo,Ohio,50,50,1
Western Michigan,Central Michigan,50,50,1
UCF,Houston,50,50,0
Washington,Oregon,50,1,1
Chattanooga,Auburn,100,2,1
TCU,Utah,3,5,0
Hawai'i,Boise State,50,4,1
Alabama,LSU,6,10,1
Nebraska,Iowa State,7,50,0
Oklahoma,Texas A&M,8,50,1
Wisconsin,Purdue,9,50,0
Missouri,Texas Tech,12,50,1
Arizona,Stanford,15,13,1
Minnesota,Michigan State,50,14,1
Iowa,Indiana,16,50,0
Baylor,Oklahoma State,21,17,1
Arkansas,South Carolina,18,19,0
Nevada,Idaho,23,100,0
North Carolina,Florida State,50,24,0
NC State,Clemson,25,50,1
Illinois,Michigan,50,50,1
Virginia,Duke,50,50,1
Louisville,Syracuse,50,50,0
Air Force,Army,50,50,0
Maryland,Miami,50,50,1
Florida,Vanderbilt,50,50,0
Charleston Southern,Kentucky,100,50,1
Idaho State,Georgia,100,50,1
Akron,Ball State,50,50,1
Colorado,Kansas,50,50,1
UNLV,BYU,50,50,1
Temple,Kent State,50,50,0
Rice,Tulsa,50,50,1
New Mexico State,Utah State,50,50,1
Southern Mississippi,Tulane,100,50,0
Northwestern,Penn State,50,50,1
Navy,East Carolina,50,50,0
Boston College,Wake Forest,50,50,0
Fresno State,Louisiana Tech,50,50,0
California,Washington State,50,50,0
Marshall,UAB,50,50,0
Florida Atlantic,Western Kentucky,50,50,0
Wyoming,New Mexico,50,50,1
Louisiana,Ole Miss,50,50,1
Troy,North Texas,50,50,0
Oregon State,UCLA,50,50,1
Louisiana Monroe,Florida Intl,100,100,1
Texas,Kansas State,50,50,1
Tennessee,Memphis,50,50,0
SMU,UTEP,50,50,1
Colorado State,San Diego State,50,50,1
Arizona State,USC,50,50,1
