Miami,Cincinnati,50,50,1
Memphis,South Florida,50,50,0
Temple,Charlotte,50,50,0
Connecticut,BYU,100,50,1
Ohio State,Indiana,1,50,0
Purdue,Michigan State,50,2,1
Ole Miss,Florida,3,25,1
Texas,TCU,50,4,1
Texas Tech,Baylor,50,5,1
Notre Dame,Clemson,6,12,1
Arizona State,UCLA,50,7,0
Alabama,Georgia,13,8,0
Eastern Michigan,LSU,50,9,1
Florida State,Wake Forest,11,50,0
Mississippi State,Texas A&M,21,14,1
West Virginia,Oklahoma,23,15,1
Minnesota,Northwestern,50,16,1
Arizona,Stanford,50,18,1
Iowa,Wisconsin,50,19,0
Kansas State,Oklahoma State,50,20,1
Michigan,Maryland,22,50,0
Washington State,California,50,24,1
UCF,Tulane,50,50,1
Houston,Tulsa,50,50,0
South Carolina,Missouri,50,50,1
Army,Penn State,50,50,1
Kansas,Iowa State,50,50,1
Louisville,NC State,50,50,0
Ohio,Akron,50,50,0
Toledo,Ball State,50,50,0
Northern Illinois,Central Michigan,50,50,1
Florida Intl,UMass,100,50,1
Air Force,Navy,50,50,1
Wyoming,Appalachian State,50,50,1
Bowling Green,Buffalo,50,50,0
Miami (OH),Kent State,50,50,1
Liberty,Georgia State,50,50,0
Old Dominion,Marshall,50,50,1
Western Kentucky,Rice,50,50,0
Boston College,Duke,50,50,1
North Carolina,Georgia Tech,50,50,0
San Jose State,Auburn,50,50,1
East Carolina,SMU,50,50,0
Nebraska,Illinois,50,50,1
North Texas,Southern Mississippi,50,100,1
Arkansas,Tennessee,50,50,0
Vanderbilt,Middle Tennessee,50,50,0
Louisiana,Louisiana Tech,50,50,1
UNLV,Nevada,50,50,0
Colorado State,Utah State,50,50,1
South Alabama,Troy,50,50,0
Idaho,Arkansas State,100,50,1
Georgia Southern,Louisiana Monroe,50,100,0
Eastern Kentucky,Kentucky,100,50,1
UT San Antonio,UTEP,100,50,0
New Mexico State,New Mexico,50,50,1
Hawai'i,Boise State,50,50,1
Fresno State,San Diego State,50,50,1
Oregon,Colorado,50,50,0
