0,127,116,40,48,39,66,7,50,120,94,135,153,106,153,7,100,9
1,18,77,95,121,44,106,7,50,17,78,119,61,27,33,6,13,9
1,122,38,9,17,6,14,6,25,196,80,5,71,55,29,7,50,9
1,66,70,66,124,114,75,8,50,69,183,39,79,29,105,7,50,9
0,108,154,49,120,18,128,7,50,71,66,34,94,28,88,8,50,9
0,187,101,1,57,25,87,7,50,42,178,67,38,47,64,6,50,9
0,84,67,60,6,64,20,7,23,129,105,108,92,135,109,7,50,9
0,62,60,113,67,71,56,7,50,75,139,31,127,57,145,7,50,9
1,121,8,59,21,26,22,7,50,110,88,25,69,17,74,7,50,9
1,53,102,101,86,98,91,8,50,107,115,111,81,103,90,7,50,9
0,173,81,109,46,166,69,8,50,21,138,152,131,112,147,8,50,9
0,47,16,13,23,13,6,7,2,49,160,167,15,111,60,7,50,9
0,68,73,72,41,49,26,7,3,194,140,3,95,70,129,7,50,9
1,65,107,100,42,58,51,7,6,33,136,43,63,35,89,7,50,9
1,123,17,46,91,38,18,7,9,87,28,26,54,19,16,7,7,9
1,159,106,53,105,129,68,7,50,25,134,27,75,4,80,7,8,9
0,178,49,23,28,89,5,7,12,26,173,44,47,21,104,7,50,9
0,2,32,187,51,15,54,7,14,50,137,172,77,115,35,7,24,9
1,61,27,73,52,74,13,8,15,116,21,47,78,97,59,7,50,9
1,35,123,42,7,50,34,7,16,155,22,20,32,91,7,7,50,9
1,92,33,92,9,61,8,7,18,80,96,17,93,11,41,7,17,9
1,39,135,61,33,16,76,7,19,76,127,48,129,84,94,8,50,9
1,151,47,4,100,45,30,7,20,28,103,180,64,120,65,7,50,9
1,48,36,19,158,33,70,7,21,15,194,21,72,3,83,7,50,9
1,19,147,127,18,73,36,6,22,52,112,37,113,10,78,7,50,9
0,88,69,122,126,131,62,8,50,137,156,83,62,105,115,8,50,9
1,5,174,90,53,8,77,7,50,86,64,139,27,119,44,6,50,9
0,102,164,36,152,65,140,7,50,118,37,158,159,148,121,7,50,9
0,29,90,140,179,43,159,8,50,133,192,65,198,137,176,7,50,9
0,191,100,2,20,51,32,7,50,54,45,121,146,67,61,8,50,9
1,12,179,75,55,32,45,7,50,74,163,159,8,126,42,7,50,9
1,170,11,125,144,158,81,8,50,132,87,149,80,128,73,6,100,9
1,119,40,144,206,82,172,1,100,64,167,33,102,85,139,7,50,9
1,90,84,62,119,127,131,6,50,130,63,68,35,83,24,7,50,9
1,20,34,146,34,93,31,6,50,117,79,120,12,130,84,7,100,9
0,149,99,14,142,59,114,7,100,97,132,116,168,122,138,7,100,9
1,100,44,91,83,76,67,7,50,144,143,104,98,101,97,7,50,9
0,98,153,50,182,78,166,7,50,59,62,85,66,54,40,7,50,9
0,56,89,93,82,87,37,7,50,81,98,148,85,100,82,7,50,9
1,167,126,6,154,118,124,7,50,184,30,32,60,88,53,7,50,9
1,104,65,202,65,68,28,7,50,169,104,54,114,121,102,7,50,9
0,111,97,150,108,109,96,7,100,23,165,153,160,75,152,8,100,9
0,174,111,97,31,153,55,7,50,141,61,126,73,110,63,7,50,9
0,136,20,15,29,34,12,7,50,82,82,157,123,80,143,7,50,9
1,112,161,55,101,41,112,7,50,70,51,57,97,5,46,7,50,9
1,156,152,105,109,140,137,8,100,14,108,118,26,24,25,8,50,9
1,171,117,18,151,56,142,7,50,58,150,197,118,142,146,7,100,9
0,16,95,99,37,20,47,7,50,181,110,11,22,60,57,7,50,9
1,36,25,71,157,86,103,7,50,106,109,22,155,52,135,7,50,9
0,147,162,77,99,117,98,7,100,157,31,41,140,146,95,7,50,9
1,77,71,162,180,113,160,8,50,142,48,133,106,141,86,7,50,9
0,145,19,24,56,42,11,7,50,152,42,112,138,156,111,7,100,9
1,125,85,124,88,104,99,7,50,67,58,106,112,72,72,6,50,9
0,63,55,81,107,31,49,7,100,60,114,143,104,149,93,7,100,9
1,22,129,132,111,37,119,9,50,40,26,130,39,23,4,7,50,9
1,163,86,74,11,147,23,7,100,41,151,98,59,48,113,8,50,9
