TCU,Minnesota,23,17,246,197,203,144
Alcorn State,Georgia Tech,6,69,106,77,166,476
UT San Antonio,Arizona,32,42,332,229,193,163
North Carolina,South Carolina,13,17,232,140,208,254
Florida Intl,UCF,15,14,260,249,131,46
Oklahoma State,Central Michigan,24,13,266,265,153,78
Elon,Wake Forest,3,41,100,388,51,203
VMI,Ball State,36,48,444,338,103,229
Villanova,Connecticut,15,20,189,202,114,105
Western Kentucky,Vanderbilt,14,12,209,217,37,168
Michigan,Utah,17,24,279,210,76,127
Southern Utah,Utah State,9,12,111,110,52,140
Duke,Tulane,37,7,324,246,206,25
UC Davis,Nevada,17,31,238,163,89,232
New Hampshire,San Jose State,13,43,60,422,126,285
Abilene Christian,Fresno State,13,34,213,217,34,225
Colorado,Hawai'i,20,28,158,202,215,100
Baylor,SMU,56,21,423,166,300,203
Washington,Boise State,13,16,150,152,29,185
Charlotte,Georgia State,23,20,244,299,164,93
Rhode Island,Syracuse,0,47,60,114,4,312
Fordham,Army,37,35,322,133,123,256
Weber State,Oregon State,7,26,120,110,58,281
Wisconsin,Alabama,17,35,228,264,40,238
Louisville,Auburn,24,31,167,137,238,190
Eastern Washington,Oregon,42,61,438,246,111,485
Arkansas State,USC,6,55,193,324,208,185
Louisiana Monroe,Georgia,14,51,206,192,45,243
Texas State,Florida State,16,59,168,370,132,266
Texas,Notre Dame,3,38,103,313,60,214
Wofford,Clemson,10,49,90,311,123,222
Virginia,UCLA,16,34,238,351,98,152
Arizona State,Texas A&M,17,38,199,247,92,178
Tennessee-Martin,Ole Miss,3,76,174,324,116,338
UTEP,Arkansas,13,48,146,308,58,182
Akron,Oklahoma,3,41,88,439,138,100
Stanford,Northwestern,6,16,155,105,85,225
Southeast Missouri State,Missouri,3,34,56,319,135,88
Bowling Green,Tennessee,30,59,433,205,124,399
Colgate,Navy,10,48,127,67,198,371
Norfolk State,Rutgers,13,63,199,248,-3,291
Illinois State,Iowa,14,31,196,221,35,210
Richmond,Maryland,21,50,220,138,56,341
South Dakota State,Kansas,41,38,293,291,170,285
Youngstown State,Pittsburgh,37,45,278,133,129,325
Maine,Boston College,3,24,84,155,7,204
Portland State,Washington State,24,17,61,307,233,104
Kent State,Illinois,3,52,186,208,59,134
Morgan State,Air Force,7,63,142,119,53,394
Albany,Buffalo,14,51,128,255,141,212
Presbyterian College,Miami (OH),7,26,163,261,155,205
Howard,Appalachian State,0,49,136,287,36,390
Sam Houston State,Texas Tech,45,59,320,437,317,174
BYU,Nebraska,33,28,379,319,132,126
Old Dominion,Eastern Michigan,38,34,184,188,229,256
Penn State,Temple,10,27,103,168,80,149
Florida Atlantic,Tulsa,44,47,263,424,300,194
Southern Illinois,Indiana,47,48,411,349,248,246
Savannah State,Colorado State,13,65,100,381,83,217
North Dakota,Wyoming,24,13,153,301,276,29
Wagner,Rice,16,56,199,142,86,401
Grambling State,California,14,73,170,471,127,185
Bethune-Cookman,Miami,0,45,26,184,53,195
Troy,NC State,21,49,184,199,121,251
Towson,East Carolina,20,28,237,235,179,192
Gardner-Webb,South Alabama,23,33,132,184,177,224
Florida A&M,South Florida,3,51,170,281,12,275
Missouri State,Memphis,7,63,107,202,18,317
Southern,Louisiana Tech,15,62,187,380,94,207
Louisiana,Kentucky,33,40,232,257,247,178
South Dakota,Kansas State,0,34,205,147,61,189
Georgia Southern,West Virginia,0,44,29,359,195,185
New Mexico State,Florida,13,61,136,384,64,222
UNLV,Northern Illinois,30,38,329,360,164,185
San Diego,San Diego State,3,37,109,139,79,166
Northern Iowa,Iowa State,7,31,176,233,126,77
Tennessee Tech,Houston,24,52,312,355,29,266
Mississippi Valley State,New Mexico,0,66,48,172,26,339
Alabama A&M,Cincinnati,10,52,148,340,98,296
Mississippi State,Southern Mississippi,34,16,237,311,205,102
Purdue,Marshall,31,41,270,234,184,163
Ohio State,Virginia Tech,42,24,213,192,359,128
