Eastern Michigan,Northern Illinois,27,30,307,278,96,114
Toledo,Ball State,58,17,267,105,335,204
South Alabama,Georgia State,13,21,297,195,41,114
Tulane,Memphis,26,56,203,298,122,259
Florida State,Boston College,3,35,149,88,64,241
Tulsa,SMU,34,38,212,366,246,215
Penn State,Ohio State,38,39,192,328,91,201
Georgia,Florida,42,7,101,66,292,183
TCU,Iowa State,7,14,135,202,172,53
Wisconsin,Illinois,24,10,135,152,168,134
Miami,North Carolina,24,19,356,252,59,176
NC State,Notre Dame,14,35,213,104,50,318
Texas Tech,Oklahoma,27,49,322,281,115,336
Oklahoma State,West Virginia,50,39,216,285,246,62
UCLA,Washington,23,44,170,109,62,333
Duke,Virginia Tech,3,24,82,200,101,187
Washington State,Arizona,37,58,602,275,51,310
Michigan State,Northwestern,31,39,445,368,95,64
Houston,South Florida,28,24,142,325,255,137
Austin Peay,UCF,33,73,209,347,143,142
USC,Arizona State,48,17,266,278,341,79
Buffalo,Akron,20,21,313,286,141,81
Arkansas,Ole Miss,38,37,189,368,260,198
Texas,Baylor,38,7,256,218,171,31
Louisville,Wake Forest,32,42,332,461,191,164
Virginia,Pittsburgh,14,31,212,134,102,176
California,Colorado,28,44,374,353,61,200
Florida Intl,Marshall,41,30,177,363,224,142
Kansas State,Kansas,30,20,138,418,202,64
Air Force,Colorado State,45,28,64,269,413,166
San Jose State,BYU,20,41,198,332,140,266
Georgia Southern,Troy,16,38,82,142,227,241
Appalachian State,UMass,27,30,133,190,234,207
Louisiana Tech,Rice,42,28,237,187,180,247
Indiana,Maryland,39,42,410,171,73,174
Vanderbilt,South Carolina,27,34,333,174,107,212
Florida Atlantic,Western Kentucky,42,28,93,371,368,99
Louisiana Monroe,Idaho,23,31,405,360,104,158
Utah,Oregon,20,41,293,69,91,347
Missouri,UConn,52,12,408,233,175,121
Old Dominion,North Texas,38,45,181,309,205,151
Minnesota,Iowa,10,17,139,190,142,125
UAB,Southern Mississippi,30,12,208,266,209,81
Mississippi State,Texas A&M,35,14,141,189,228,96
New Mexico,Wyoming,3,42,69,234,115,75
Tennessee,Kentucky,26,29,242,82,203,289
Nebraska,Purdue,25,24,431,164,40,199
UT San Antonio,UTEP,31,14,188,133,205,110
Arkansas State,New Mexico State,37,21,297,221,120,35
UNLV,Fresno State,26,16,155,152,173,140
Boise State,Utah State,41,14,370,186,163,93
San Diego State,Hawai'i,28,7,83,160,334,35
