Florida State,Louisville,2,25,0
Troy,Georgia Southern,50,50,1
Cincinnati,Tulane,50,50,0
Tulsa,Memphis,50,50,1
Arkansas,Mississippi State,50,1,1
Auburn,Ole Miss,3,4,0
Stanford,Oregon,50,5,1
TCU,West Virginia,7,20,0
Oklahoma State,Kansas State,50,9,1
Notre Dame,Navy,10,50,0
Florida,Georgia,50,11,0
Arizona,UCLA,12,22,1
Kansas,Baylor,50,13,1
Utah,Arizona State,17,14,1
Purdue,Nebraska,50,15,1
Illinois,Ohio State,50,16,1
Oklahoma,Iowa State,18,50,0
East Carolina,Temple,23,50,1
Duke,Pittsburgh,24,50,0
Air Force,Army,50,50,0
Northwestern,Iowa,50,50,1
Maryland,Penn State,50,50,0
Wisconsin,Rutgers,50,50,0
Rice,Florida Intl,50,100,0
UCF,Connecticut,50,100,1
Louisiana Monroe,Texas A&M,100,50,1
North Carolina,Miami,50,50,1
Boston College,Virginia Tech,50,50,0
Central Michigan,Eastern Michigan,50,50,0
Washington,Colorado,50,50,0
Western Michigan,Miami (OH),50,50,0
Western Kentucky,Louisiana Tech,50,50,1
NC State,Syracuse,50,50,0
Virginia,Georgia Tech,50,50,1
BYU,Middle Tennessee,50,50,0
Indiana,Michigan,50,50,1
Georgia State,Appalachian State,50,50,1
Texas State,New Mexico State,50,50,0
Kentucky,Missouri,50,50,1
Houston,South Florida,50,50,0
USC,Washington State,50,50,0
Arkansas State,Idaho,50,100,0
South Alabama,Louisiana,50,50,1
New Mexico,UNLV,50,50,0
Colorado State,San Jose State,50,50,0
UAB,Florida Atlantic,50,50,0
Old Dominion,Vanderbilt,50,50,1
Tennessee,South Carolina,50,50,0
Texas,Texas Tech,50,50,0
Southern Mississippi,UTEP,100,50,1
California,Oregon State,50,50,0
San Diego State,Nevada,50,50,1
Wyoming,Fresno State,50,50,0
Utah State,Hawai'i,50,50,0
