Stanford,62.0,7.0,369.0,95.0,287.0,146.0,1
Rice,7.0,62.0,95.0,369.0,146.0,287.0,1
South Florida,73.0,39.0,419.0,415.0,468.0,201.0,2
San Jose State,56.0,55.0,489.0,270.0,380.0,511.0,2
Oregon State,62.0,90.0,539.0,558.0,306.0,482.0,2
Colorado State,58.0,27.0,334.0,304.0,191.0,152.0,1
Portland State,38.0,55.0,358.0,429.0,377.0,325.0,2
BYU,20.0,33.0,296.0,317.0,166.0,382.0,2
Hawai'i,79.0,53.0,545.0,568.0,411.0,327.0,2
UMass,63.0,76.0,660.0,471.0,194.0,433.0,2
Ohio State,49.0,21.0,304.0,420.0,292.0,17.0,1
Indiana,21.0,49.0,420.0,304.0,17.0,292.0,1
Florida Intl,17.0,61.0,201.0,439.0,134.0,148.0,1
UCF,61.0,17.0,439.0,201.0,148.0,134.0,1
Presbyterian College,7.0,51.0,41.0,239.0,207.0,248.0,1
Wake Forest,51.0,7.0,239.0,41.0,248.0,207.0,1
Austin Peay,14.0,26.0,89.0,151.0,224.0,97.0,1
Cincinnati,26.0,14.0,151.0,89.0,97.0,224.0,1
Buffalo,7.0,17.0,211.0,239.0,51.0,169.0,1
Minnesota,17.0,7.0,239.0,211.0,169.0,51.0,1
Tennessee State,17.0,10.0,145.0,224.0,238.0,49.0,1
Georgia State,10.0,17.0,224.0,145.0,49.0,238.0,1
Elon,13.0,47.0,47.0,314.0,128.0,239.0,1
Toledo,47.0,13.0,314.0,47.0,239.0,128.0,1
Rhode Island,27.0,30.0,284.0,253.0,108.0,246.0,1
Central Michigan,30.0,27.0,253.0,284.0,246.0,108.0,1
Holy Cross,20.0,27.0,358.0,278.0,89.0,160.0,1
UConn,27.0,20.0,278.0,358.0,160.0,89.0,1
North Dakota,16.0,37.0,187.0,227.0,55.0,272.0,1
Utah,37.0,16.0,227.0,187.0,272.0,55.0,1
Florida A&M,7.0,49.0,95.0,179.0,80.0,236.0,1
Arkansas,49.0,7.0,179.0,95.0,236.0,80.0,1
Sacramento State,6.0,28.0,95.0,163.0,95.0,197.0,1
Idaho,28.0,6.0,163.0,95.0,197.0,95.0,1
Louisiana Monroe,29.0,37.0,279.0,97.0,146.0,319.0,1
Memphis,37.0,29.0,97.0,279.0,319.0,146.0,1
New Mexico State,31.0,37.0,398.0,321.0,151.0,79.0,1
Arizona State,37.0,31.0,321.0,398.0,79.0,151.0,1
Washington,30.0,14.0,284.0,178.0,84.0,131.0,1
Rutgers,14.0,30.0,178.0,284.0,131.0,84.0,1
Utah State,10.0,59.0,219.0,244.0,85.0,234.0,1
Wisconsin,59.0,10.0,244.0,219.0,234.0,85.0,1
Fordham,6.0,64.0,240.0,0.0,66.0,513.0,1
Army,64.0,6.0,0.0,240.0,513.0,66.0,1
Charlotte,7.0,24.0,114.0,267.0,166.0,126.0,1
Eastern Michigan,24.0,7.0,267.0,114.0,126.0,166.0,1
Central Connecticut,7.0,50.0,113.0,431.0,54.0,155.0,1
Syracuse,50.0,7.0,431.0,113.0,155.0,54.0,1
Navy,42.0,19.0,110.0,286.0,416.0,40.0,1
Florida Atlantic,19.0,42.0,286.0,110.0,40.0,416.0,1
Boston College,23.0,20.0,191.0,203.0,148.0,164.0,1
Northern Illinois,20.0,23.0,203.0,191.0,164.0,148.0,1
Florida State,7.0,24.0,210.0,96.0,40.0,173.0,1
Alabama,24.0,7.0,96.0,210.0,173.0,40.0,1
Western Michigan,31.0,49.0,94.0,289.0,263.0,232.0,1
USC,49.0,31.0,289.0,94.0,232.0,263.0,1
Kent State,3.0,56.0,1.0,312.0,119.0,353.0,1
Clemson,56.0,3.0,312.0,1.0,353.0,119.0,1
