Toledo,Northern Illinois,50,50,1
Miami (OH),Bowling Green,50,50,0
Pittsburgh,Connecticut,50,100,1
East Carolina,UAB,50,50,0
Boise State,Idaho,4,100,0
Ball State,Buffalo,50,50,0
Oregon,California,1,50,0
Georgia,Auburn,50,2,1
San Diego State,TCU,50,3,1
Louisiana Monroe,LSU,100,5,1
Stanford,Arizona State,6,50,0
Indiana,Wisconsin,50,7,1
Kansas,Nebraska,50,8,1
Penn State,Ohio State,50,9,1
Oklahoma State,Texas,10,50,0
Mississippi State,Alabama,19,12,1
Iowa,Northwestern,13,50,1
Utah,Notre Dame,14,50,1
UTEP,Arkansas,50,15,1
Texas Tech,Oklahoma,50,16,1
Kansas State,Missouri,24,17,1
USC,Arizona,50,18,0
Virginia Tech,North Carolina,20,50,0
Nevada,Fresno State,21,50,0
South Carolina,Florida,23,22,0
Texas A&M,Baylor,25,50,0
Miami,Georgia Tech,50,50,0
Boston College,Duke,50,50,0
South Florida,Louisville,50,50,0
Cincinnati,West Virginia,50,50,1
Minnesota,Illinois,50,50,0
Southern Mississippi,UCF,100,50,0
Michigan,Purdue,50,50,0
Ole Miss,Tennessee,50,50,1
Vanderbilt,Kentucky,50,50,1
Iowa State,Colorado,50,50,1
BYU,Colorado State,50,50,0
Wake Forest,NC State,50,50,1
Army,Kent State,50,50,0
Eastern Michigan,Western Michigan,50,50,1
Memphis,Marshall,50,50,1
Western Kentucky,Arkansas State,50,50,0
North Texas,Middle Tennessee,50,50,0
Central Michigan,Navy,50,50,1
Florida Intl,Troy,100,50,0
Rice,Tulane,50,50,1
Maryland,Virginia,50,50,0
Syracuse,Rutgers,50,50,0
Washington State,Oregon State,50,50,0
New Mexico,Air Force,50,50,1
Louisiana Tech,New Mexico State,50,50,0
Louisiana,Florida Atlantic,50,50,1
Utah State,San Jose State,50,50,0
Clemson,Florida State,50,50,1
Tulsa,Houston,50,50,0
Wyoming,UNLV,50,50,1
