Louisiana Tech,Boise State,50,3,1
Florida State,NC State,16,50,1
West Virginia,Connecticut,50,100,1
Auburn,Ole Miss,1,50,0
Oregon,USC,2,50,0
TCU,UNLV,4,50,0
Michigan State,Iowa,5,18,1
Missouri,Nebraska,6,14,1
Utah,Air Force,8,50,0
Colorado,Oklahoma,50,9,1
Ohio State,Minnesota,11,50,0
Stanford,Washington,13,50,0
Arizona,UCLA,15,50,0
Oklahoma State,Kansas State,17,50,0
Vanderbilt,Arkansas,50,19,1
Tennessee,South Carolina,50,20,1
Kentucky,Mississippi State,50,21,1
Miami,Virginia,22,50,1
Utah State,Nevada,50,24,1
Baylor,Texas,25,50,0
Northwestern,Indiana,50,50,0
Clemson,Boston College,50,50,1
Louisville,Pittsburgh,50,50,1
VMI,Army,100,50,1
Purdue,Illinois,50,50,1
Syracuse,Cincinnati,50,50,0
UAB,Southern Mississippi,50,100,0
Northern Illinois,Western Michigan,50,50,0
Akron,Temple,50,50,1
Louisiana,Ohio,50,50,1
Kansas,Iowa State,50,50,1
San Diego State,Wyoming,50,50,0
Tulsa,Notre Dame,50,50,0
North Texas,Western Kentucky,50,50,0
UTEP,Marshall,50,50,1
Texas Tech,Texas A&M,50,50,1
California,Oregon State,50,50,1
Wake Forest,Maryland,50,50,1
William & Mary,North Carolina,100,50,1
Florida,Georgia,50,50,0
SMU,Tulane,50,50,0
Ball State,Kent State,50,50,1
Duke,Navy,50,50,0
Troy,Louisiana Monroe,50,100,1
Miami (OH),Buffalo,50,50,0
East Carolina,UCF,50,50,1
Bowling Green,Central Michigan,50,50,0
Toledo,Eastern Michigan,50,50,0
Florida Intl,Florida Atlantic,100,50,1
San Jose State,New Mexico State,50,50,1
New Mexico,Colorado State,50,50,1
Houston,Memphis,50,50,0
Washington State,Arizona State,50,50,1
Michigan,Penn State,50,50,1
Idaho,Hawai'i,100,50,1
