Western Kentucky,Troy,50,50,0
UTEP,Tulsa,50,50,1
Arizona State,Colorado,50,50,0
Navy,Central Michigan,50,50,0
Alabama,Missouri,1,50,0
South Carolina,LSU,3,9,1
Florida,Vanderbilt,4,50,0
West Virginia,Texas Tech,5,50,1
Kansas State,Iowa State,6,50,0
Stanford,Notre Dame,17,7,1
Ohio State,Indiana,8,50,0
Oregon State,BYU,10,50,0
USC,Washington,11,50,0
Boston College,Florida State,50,12,1
Texas,Oklahoma,15,13,1
Louisville,Pittsburgh,18,50,0
Tennessee,Mississippi State,50,19,1
Syracuse,Rutgers,50,20,1
Fordham,Cincinnati,100,21,1
Texas A&M,Louisiana Tech,22,23,0
Fresno State,Boise State,50,24,1
Illinois,Michigan,50,25,1
UAB,Houston,50,50,1
Iowa,Michigan State,50,50,0
Northwestern,Minnesota,50,50,0
Kent State,Army,50,50,0
Wisconsin,Purdue,50,50,0
Auburn,Ole Miss,50,50,1
Duke,Virginia Tech,50,50,1
Temple,Connecticut,50,100,0
Toledo,Eastern Michigan,50,50,0
SMU,Tulane,50,50,1
Akron,Ohio,50,50,1
North Carolina,Miami,50,50,0
Nevada,UNLV,50,50,0
Maryland,Virginia,50,50,0
Western Michigan,Ball State,50,50,1
Utah,UCLA,50,50,1
Miami (OH),Bowling Green,50,50,1
UT San Antonio,Rice,100,50,1
Buffalo,Northern Illinois,50,50,1
Oklahoma State,Kansas,50,50,0
Utah State,San Jose State,50,50,0
Memphis,East Carolina,50,50,1
Middle Tennessee,Florida Intl,50,100,0
Colorado State,San Diego State,50,50,1
Kentucky,Arkansas,50,50,1
Idaho,Texas State,100,50,1
South Alabama,Arkansas State,50,50,1
Air Force,Wyoming,50,50,0
Southern Mississippi,UCF,100,50,1
Florida Atlantic,Louisiana Monroe,50,100,1
California,Washington State,50,50,0
New Mexico,Hawai'i,50,50,0
