0.0,50.0,52,35,62,1,22,53,3.0,50.0,76,42,12,35,54,86,5.0
1.0,50.0,112,67,83,66,97,98,5.0,50.0,13,78,85,96,14,30,6.0
0.0,50.0,30,14,38,5,57,32,4.0,50.0,99,114,76,117,102,72,5.0
0.0,50.0,110,49,119,29,18,95,5.0,50.0,68,117,50,51,86,112,5.0
0.0,1.0,28,2,84,4,48,5,4.0,50.0,83,44,81,47,83,20,6.0
1.0,3.0,32,4,49,68,62,4,4.0,9.0,25,12,95,3,33,14,5.0
0.0,4.0,69,7,115,18,24,16,5.0,50.0,121,58,80,15,116,103,4.0
1.0,5.0,5,105,2,119,64,40,5.0,50.0,19,24,10,2,58,11,5.0
0.0,6.0,12,19,111,90,9,21,5.0,50.0,74,20,91,53,65,31,5.0
1.0,17.0,48,39,68,114,72,7,5.0,7.0,59,1,86,21,41,18,5.0
0.0,8.0,16,38,102,98,10,33,5.0,50.0,46,76,22,80,60,96,5.0
0.0,10.0,109,6,20,86,109,1,3.0,50.0,81,3,88,12,39,2,6.0
0.0,11.0,39,30,45,59,66,24,5.0,50.0,93,61,108,13,85,79,5.0
1.0,50.0,62,80,17,42,108,119,5.0,12.0,8,8,40,6,15,6,6.0
1.0,15.0,7,64,44,52,27,85,5.0,13.0,22,21,39,9,37,57,4.0
0.0,18.0,51,27,69,33,59,35,5.0,50.0,80,37,23,23,70,50,5.0
1.0,50.0,18,84,29,103,81,115,5.0,19.0,37,13,75,30,51,43,5.0
1.0,50.0,86,60,18,39,82,61,5.0,20.0,82,5,77,71,74,3,5.0
0.0,22.0,9,16,31,82,19,34,5.0,23.0,3,109,30,121,16,69,5.0
1.0,50.0,17,46,13,25,49,66,6.0,24.0,79,18,73,7,73,81,5.0
1.0,50.0,95,83,48,27,111,55,4.0,25.0,49,36,104,8,28,70,5.0
1.0,50.0,47,107,14,36,118,84,4.0,50.0,58,95,9,102,45,100,5.0
0.0,50.0,103,26,94,34,69,26,4.0,50.0,98,17,59,24,77,9,6.0
0.0,50.0,44,47,97,109,17,15,6.0,50.0,55,23,78,17,43,47,4.0
0.0,50.0,45,63,96,85,32,46,5.0,50.0,57,116,121,91,1,108,4.0
0.0,50.0,90,29,99,56,89,28,6.0,50.0,31,55,61,48,55,60,5.0
1.0,50.0,113,65,103,65,80,93,4.0,50.0,50,73,74,61,25,68,6.0
1.0,50.0,21,53,27,79,93,37,5.0,50.0,77,56,58,49,99,99,5.0
0.0,50.0,34,69,54,118,40,58,5.0,50.0,115,110,117,20,96,122,5.0
1.0,50.0,94,62,57,110,110,52,5.0,50.0,122,118,109,43,122,120,5.0
1.0,50.0,26,103,6,105,87,101,5.0,50.0,29,43,64,92,26,48,6.0
0.0,50.0,10,25,33,60,34,10,6.0,50.0,53,101,21,94,88,117,6.0
0.0,50.0,15,70,35,97,7,65,6.0,50.0,85,104,52,104,71,97,6.0
0.0,50.0,101,33,105,14,117,8,5.0,50.0,87,85,15,73,78,41,5.0
1.0,50.0,35,54,37,69,46,62,5.0,50.0,41,111,28,113,35,94,6.0
1.0,50.0,88,52,100,70,107,29,5.0,50.0,42,48,24,89,21,71,6.0
1.0,50.0,70,102,34,106,104,114,5.0,50.0,100,28,67,26,63,49,5.0
1.0,50.0,73,99,106,31,20,92,5.0,50.0,33,41,89,55,13,88,6.0
0.0,50.0,1,92,5,76,5,36,4.0,50.0,105,86,98,62,50,107,5.0
0.0,50.0,89,9,56,22,61,25,6.0,50.0,92,11,19,10,106,17,3.0
1.0,50.0,102,87,114,81,91,89,5.0,50.0,107,79,65,116,115,45,5.0
1.0,50.0,114,89,70,38,112,106,6.0,50.0,20,68,101,101,23,38,5.0
1.0,50.0,108,74,87,72,90,91,4.0,50.0,64,94,8,120,101,39,5.0
1.0,50.0,118,57,110,40,98,56,5.0,50.0,40,82,60,11,11,105,5.0
0.0,50.0,36,75,120,74,2,80,5.0,50.0,67,100,46,83,95,111,5.0
0.0,50.0,60,77,72,88,52,73,6.0,50.0,97,90,16,115,121,67,6.0
0.0,50.0,61,81,122,107,8,59,6.0,50.0,104,120,112,58,119,113,5.0
