Western Michigan,Kent State,37,21,83,73,329,220
Eastern Michigan,Ball State,48,41,468,393,154,149
Bowling Green,Akron,38,28,105,197,218,177
Toledo,Northern Illinois,31,24,286,227,134,214
Utah,Arizona State,49,26,296,355,201,41
North Carolina,Duke,27,28,297,240,106,227
Louisiana,Georgia Southern,33,26,258,254,224,52
Boston College,Florida State,7,45,50,236,96,180
Mississippi State,Alabama,3,51,180,397,94,218
Pittsburgh,Clemson,43,42,308,580,156,50
Michigan,Iowa,13,14,103,66,98,164
USC,Washington,26,13,287,259,113,17
Ohio State,Maryland,62,3,328,133,253,43
Wake Forest,Louisville,12,44,141,145,73,346
Illinois,Wisconsin,3,48,101,92,99,363
Ole Miss,Texas A&M,29,28,338,213,152,129
Auburn,Georgia,7,13,37,208,127,135
Penn State,Indiana,45,31,332,344,77,110
Baylor,Oklahoma,24,45,292,300,212,253
Colorado,Arizona,49,24,213,155,175,257
Texas Tech,Oklahoma State,44,45,376,395,142,210
Georgia Tech,Virginia Tech,30,20,34,316,309,121
West Virginia,Texas,24,20,269,318,114,218
Minnesota,Nebraska,17,24,180,217,85,157
Boise State,Hawai'i,52,16,357,125,246,234
California,Washington State,21,56,425,400,100,254
LSU,Arkansas,38,10,157,210,390,81
South Carolina,Florida,7,20,213,201,43,171
Kentucky,Tennessee,36,49,192,223,443,376
Cincinnati,UCF,3,24,220,150,107,155
SMU,East Carolina,55,31,237,314,240,152
Tulsa,Navy,40,42,369,111,207,390
Iowa State,Kansas,31,24,220,171,238,244
Rutgers,Michigan State,0,49,40,163,109,277
Northwestern,Purdue,45,17,352,264,253,130
NC State,Syracuse,35,20,360,190,184,28
Miami (OH),Buffalo,35,24,105,193,204,187
Rice,Charlotte,22,21,292,105,141,158
Miami,Virginia,34,14,228,207,222,82
Louisiana Monroe,Georgia State,37,23,193,422,264,42
New Mexico State,Arkansas State,22,41,256,293,182,160
Southern Utah,BYU,7,37,144,441,21,155
Vanderbilt,Missouri,17,26,252,294,159,187
Army,Notre Dame,6,44,13,215,229,261
Wyoming,UNLV,66,69,334,252,151,401
UT San Antonio,Louisiana Tech,35,63,179,293,131,180
North Texas,Western Kentucky,7,45,117,329,115,214
Southern Mississippi,Old Dominion,35,51,230,150,222,170
Appalachian State,Troy,24,28,167,223,167,187
Tulane,Houston,18,30,241,221,100,66
Idaho,Texas State,47,14,336,193,154,-18
Stanford,Oregon,52,27,258,274,282,226
UTEP,Florida Atlantic,31,35,118,233,237,243
Middle Tennessee,Marshall,17,42,220,246,63,207
South Florida,Memphis,49,42,263,331,416,277
Oregon State,UCLA,24,38,232,281,75,163
Colorado State,Air Force,46,49,374,49,185,485
New Mexico,Utah State,24,21,154,263,249,128
San Diego State,Nevada,46,16,146,276,474,90
