Ohio,Ball State,27,52,252,231,231,357
Toledo,Northern Illinois,24,31,265,407,131,189
Hawai'i,Air Force,7,21,125,37,338,125
Kansas State,Baylor,24,52,286,238,76,342
Stanford,Oregon,17,14,211,207,200,198
Wake Forest,Notre Dame,0,38,154,363,55,221
Western Carolina,Alabama,0,49,93,160,70,300
Georgia Southern,Georgia,14,45,16,354,302,120
Jacksonville State,Florida,0,23,194,154,48,202
Ole Miss,LSU,35,41,316,282,147,145
Sam Houston State,Texas A&M,28,47,191,370,191,157
Wofford,South Carolina,7,24,71,122,259,171
Florida State,Maryland,41,14,160,136,237,34
NC State,Clemson,48,62,493,426,104,328
Oklahoma,West Virginia,50,49,554,320,108,458
Minnesota,Nebraska,14,38,90,311,87,133
California,Oregon State,14,62,132,359,190,200
USC,UCLA,28,38,341,234,172,172
Utah State,Louisiana Tech,48,41,340,396,306,233
Iowa,Michigan,17,42,181,314,128,199
Rutgers,Cincinnati,10,3,186,251,234,90
Texas Tech,Oklahoma State,21,59,284,231,99,256
Washington,Colorado,38,3,248,51,228,90
Northwestern,Michigan State,23,20,246,297,57,122
Kent State,Bowling Green,31,24,91,355,334,83
Indiana,Penn State,22,45,454,395,24,151
UCF,Tulsa,21,23,169,252,66,209
Houston,Marshall,41,44,325,377,105,288
Temple,Army,63,32,31,88,534,407
Temple,Army,63,32,31,88,534,407
Arkansas,Mississippi State,14,45,233,302,126,203
Virginia Tech,Boston College,30,23,247,129,154,162
Miami (OH),Central Michigan,16,30,360,202,74,184
Alabama A&M,Auburn,7,51,186,171,22,341
Memphis,UAB,46,9,160,187,173,26
Eastern Michigan,Western Michigan,29,23,174,328,195,115
South Florida,Miami,9,40,204,463,154,85
Washington State,Arizona State,7,46,240,301,1,260
Colorado State,Boise State,14,42,72,234,157,269
Duke,Georgia Tech,24,42,198,119,77,330
Middle Tennessee,South Alabama,20,12,233,189,212,149
Nevada,New Mexico,31,24,133,0,358,352
Texas State,Navy,10,21,290,35,115,407
Arkansas State,Troy,41,34,369,447,226,71
East Carolina,Tulane,28,23,215,293,172,9
Purdue,Illinois,20,17,191,160,207,173
Ohio State,Wisconsin,21,14,97,154,139,206
SMU,Rice,14,36,214,297,103,126
North Texas,Louisiana Monroe,16,42,323,357,144,161
Wyoming,UNLV,28,23,412,268,95,158
UT San Antonio,Idaho,34,27,232,342,192,127
Tennessee,Vanderbilt,18,41,154,248,149,194
Syracuse,Missouri,31,27,385,364,123,120
Iowa State,Kansas,51,23,307,189,241,252
Western Kentucky,Louisiana,27,31,149,258,266,324
Samford,Kentucky,3,34,104,113,-2,342
UTEP,Southern Mississippi,34,33,189,374,170,158
Arizona,Utah,34,24,160,313,320,136
BYU,San Jose State,14,20,335,305,87,59
