Old Dominion,Charlotte,25,28,215,202,123,171
Boston College,Wake Forest,41,34,304,214,220,298
Tennessee Tech,Utah State,12,73,75,291,152,330
Georgia State,Memphis,22,59,139,269,173,410
Alabama,Ole Miss,62,7,306,133,210,115
Georgia Southern,Clemson,7,38,60,286,80,309
Middle Tennessee,Georgia,7,49,130,223,158,261
Ohio State,TCU,40,28,344,308,182,203
Oklahoma,Iowa State,37,27,348,360,171,87
BYU,Wisconsin,24,21,120,190,191,204
LSU,Auburn,22,21,249,198,121,130
Vanderbilt,Notre Dame,17,22,326,135,94,245
UC Davis,Stanford,10,30,258,214,50,137
Washington,Utah,21,7,155,138,172,123
Kent State,Penn State,10,63,180,346,41,297
Louisiana,Mississippi State,10,56,245,276,65,331
Boise State,Oklahoma State,21,44,380,246,34,176
SMU,Michigan,20,45,209,237,110,197
San Jose State,Oregon,22,35,267,309,29,134
Miami,Toledo,49,24,205,222,268,112
USC,Texas,14,37,322,234,-5,160
Arizona State,San Diego State,21,28,341,129,36,311
Rhode Island,UConn,49,56,351,319,199,265
Hawai'i,Army,21,28,321,162,41,303
Troy,Nebraska,24,19,110,177,143,187
Florida State,Syracuse,7,30,178,219,62,222
Rutgers,Kansas,14,55,124,139,150,405
Ball State,Indiana,10,38,143,202,204,255
Temple,Maryland,35,14,264,63,165,132
Murray State,Kentucky,10,48,180,283,122,245
UTEP,Tennessee,0,24,39,167,95,345
Georgia Tech,Pittsburgh,19,24,66,197,320,138
Tulane,UAB,24,31,180,180,175,269
South Florida,Illinois,25,19,411,168,215,212
Duke,Baylor,40,27,174,270,225,130
Central Michigan,Northern Illinois,16,24,158,104,164,180
Miami (OH),Minnesota,3,26,108,177,91,118
UTSA,Kansas State,17,41,157,285,143,164
Wofford,Wyoming,14,17,73,224,221,89
Eastern Kentucky,Bowling Green,35,42,109,258,389,130
Colorado State,Florida,10,48,240,119,70,222
North Texas,Arkansas,44,17,281,210,95,126
Houston,Texas Tech,49,63,462,605,173,99
Ohio,Virginia,31,45,246,379,118,173
New Hampshire,Colorado,14,45,228,180,42,311
Idaho State,California,23,45,179,269,140,213
Bethune-Cookman,Florida Atlantic,28,49,213,183,119,376
Eastern Michigan,Buffalo,28,35,348,325,142,164
Texas State,South Alabama,31,41,214,266,158,116
Delaware State,Western Michigan,0,68,8,286,115,241
Arkansas State,Tulsa,29,20,191,172,211,164
Alabama A&M,Cincinnati,7,63,134,332,48,409
Oregon State,Nevada,35,37,459,201,81,156
Northern Iowa,Iowa,14,38,222,338,6,207
Western Kentucky,Louisville,17,20,260,88,168,204
Missouri,Purdue,40,37,375,572,233,42
UL Monroe,Texas A&M,10,48,225,249,103,281
UMass,Florida International,24,63,224,207,199,329
Akron,Northwestern,39,34,277,405,90,86
New Mexico,New Mexico State,42,25,127,249,198,119
Eastern Washington,Washington State,24,59,231,524,141,41
Prairie View,UNLV,17,46,238,130,40,314
Fresno State,UCLA,38,14,270,151,150,119
Southern Utah,Arizona,31,62,270,358,193,268
