Louisiana,Western Kentucky,50,50,0
Miami,North Carolina,10,50,0
UCF,Louisville,50,8,0
Arkansas,Alabama,50,1,1
Washington State,Oregon,50,2,1
Florida State,Clemson,5,3,0
Iowa,Ohio State,50,4,1
LSU,Ole Miss,6,50,1
Auburn,Texas A&M,24,7,0
UCLA,Stanford,9,13,1
South Carolina,Tennessee,11,50,1
Iowa State,Baylor,50,12,1
Florida,Missouri,22,14,1
Georgia,Vanderbilt,15,50,1
Texas Tech,West Virginia,16,50,0
UNLV,Fresno State,50,17,1
Oklahoma,Kansas,18,50,0
Washington,Arizona State,20,50,1
TCU,Oklahoma State,50,21,1
Northern Illinois,Central Michigan,23,50,0
Wisconsin,Illinois,25,50,0
Minnesota,Northwestern,50,50,0
Purdue,Michigan State,50,50,1
Southern Mississippi,East Carolina,100,50,1
SMU,Memphis,50,50,0
Connecticut,Cincinnati,100,50,1
Navy,Toledo,50,50,1
Syracuse,Georgia Tech,50,50,1
Akron,Miami (OH),50,50,0
Army,Temple,50,50,1
Ohio,Eastern Michigan,50,50,0
Ball State,Western Michigan,50,50,0
Colorado State,Wyoming,50,50,0
Charleston Southern,Colorado,100,50,1
Kent State,South Alabama,50,50,1
Maryland,Wake Forest,50,50,1
Indiana,Michigan,50,50,1
BYU,Houston,50,50,0
Duke,Virginia,50,50,0
UMass,Buffalo,50,50,1
North Texas,Louisiana Tech,50,50,0
Georgia State,Texas State,50,50,1
Old Dominion,Pittsburgh,50,50,1
USC,Notre Dame,50,50,1
Rice,New Mexico State,50,50,0
Nevada,Boise State,50,50,1
Utah State,New Mexico,50,50,0
Utah,Arizona,50,50,1
Oregon State,California,50,50,0
